Fri Apr 28 19:45:36 2023: Starting simulation at run_script-Log-23-04-28-19:45:36.Log is also stored in output file at ./logs/run_script-Log-23-04-28-19:45:36.txtMQ2008
Fri Apr 28 19:45:36 2023: Read   0: Fold 1 of dataset MQ2008.
Fri Apr 28 19:45:36 2023: No group information is provided.
Fri Apr 28 19:45:36 2023: log_scale False
Fri Apr 28 19:45:36 2023: Launch 0: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 0 with click model perfect on fold 1 from dataset MQ2008.
Fri Apr 28 19:45:36 2023: Launch 1: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 1 with click model perfect on fold 1 from dataset MQ2008.
Fri Apr 28 19:45:36 2023: Launch 2: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 2 with click model perfect on fold 1 from dataset MQ2008.
Fri Apr 28 19:45:37 2023: Read   1: Fold 2 of dataset MQ2008.
Fri Apr 28 19:45:37 2023: No group information is provided.
Fri Apr 28 19:46:19 2023: log_scale False
Fri Apr 28 19:46:19 2023: Launch 3: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 0 with click model perfect on fold 2 from dataset MQ2008.
Fri Apr 28 19:46:19 2023: Launch 4: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 1 with click model perfect on fold 2 from dataset MQ2008.
Fri Apr 28 19:46:19 2023: Launch 5: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 2 with click model perfect on fold 2 from dataset MQ2008.
Fri Apr 28 19:46:19 2023: Read   2: Fold 3 of dataset MQ2008.
Fri Apr 28 19:46:20 2023: No group information is provided.
Fri Apr 28 19:46:55 2023: log_scale False
Fri Apr 28 19:46:55 2023: Launch 6: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 0 with click model perfect on fold 3 from dataset MQ2008.
Fri Apr 28 19:46:56 2023: Launch 7: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 1 with click model perfect on fold 3 from dataset MQ2008.
Fri Apr 28 19:46:56 2023: Launch 8: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 2 with click model perfect on fold 3 from dataset MQ2008.
Fri Apr 28 19:46:56 2023: Read   3: Fold 4 of dataset MQ2008.
Fri Apr 28 19:46:58 2023: No group information is provided.
Fri Apr 28 19:47:28 2023: Clean  0: Fold 2 of dataset MQ2008.
Fri Apr 28 19:47:49 2023: log_scale False
Fri Apr 28 19:47:49 2023: Launch 9: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 0 with click model perfect on fold 4 from dataset MQ2008.
Fri Apr 28 19:47:50 2023: Launch 10: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 1 with click model perfect on fold 4 from dataset MQ2008.
Fri Apr 28 19:47:50 2023: Launch 11: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 2 with click model perfect on fold 4 from dataset MQ2008.
Fri Apr 28 19:47:50 2023: Read   4: Fold 5 of dataset MQ2008.
Fri Apr 28 19:47:51 2023: No group information is provided.
Fri Apr 28 19:48:22 2023: Clean  1: Fold 1 of dataset MQ2008.
Fri Apr 28 19:48:40 2023: log_scale False
Fri Apr 28 19:48:40 2023: Launch 12: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 0 with click model perfect on fold 5 from dataset MQ2008.
Fri Apr 28 19:48:40 2023: Launch 13: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 1 with click model perfect on fold 5 from dataset MQ2008.
Fri Apr 28 19:48:41 2023: Launch 14: algo/PDBTR/perfect/1000/10/0.1-0.99999977-1 2 with click model perfect on fold 5 from dataset MQ2008.
Fri Apr 28 19:46:55 2023: setting up ranker...
Fri Apr 28 19:46:55 2023: ranker set up complete
Fri Apr 28 19:46:55 2023: loop through impressions: 1000
Fri Apr 28 19:46:58 2023: 0.1 False 0
Fri Apr 28 19:47:16 2023: 0.1 True 4.723012063774702
Fri Apr 28 19:47:17 2023: 0.09000000000000001 False 4.723012063774702
Fri Apr 28 19:47:21 2023: 0.09000000000000001 False 0.0
Fri Apr 28 19:47:25 2023: 0.09000000000000001 True 10.127825828836157
Fri Apr 28 19:47:26 2023: 0.08100000000000002 False 10.127825828836157
Fri Apr 28 19:47:27 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:29 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:30 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:32 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:33 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:34 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:37 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:39 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:41 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:42 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:45 2023: 0.08100000000000002 False 0.0
Fri Apr 28 19:47:54 2023: 0.08100000000000002 True 13.789743426076535
Fri Apr 28 19:47:56 2023: 0.07290000000000002 False 13.789743426076535
Fri Apr 28 19:48:24 2023: 0.07290000000000002 True 17.803478876206874
Fri Apr 28 19:48:24 2023: 0.06561000000000002 False 17.803478876206874
Fri Apr 28 19:48:27 2023: 0.06561000000000002 False 0.0
Fri Apr 28 19:48:31 2023: 0.06561000000000002 False 0.0
Fri Apr 28 19:48:34 2023: 0.06561000000000002 False 0.0
Fri Apr 28 19:48:36 2023: 0.06561000000000002 False 0.0
Fri Apr 28 19:48:39 2023: 0.06561000000000002 False 0.0
Fri Apr 28 19:48:42 2023: 0.06561000000000002 False 0.0
Fri Apr 28 19:49:09 2023: 0.06561000000000002 True 6.8008352959203515
Fri Apr 28 19:49:11 2023: 0.05904900000000002 False 6.8008352959203515
Fri Apr 28 19:49:13 2023: 0.05904900000000002 False 0.0
Fri Apr 28 19:49:19 2023: 0.05904900000000002 True 22.53215934009752
Fri Apr 28 19:49:20 2023: 0.05314410000000002 False 22.53215934009752
Fri Apr 28 19:49:25 2023: 0.05314410000000002 True 3.932735292155804
Fri Apr 28 19:49:25 2023: 0.04782969000000002 False 3.932735292155804
Fri Apr 28 19:49:27 2023: 0.04782969000000002 False 0.0
Fri Apr 28 19:49:29 2023: 0.04782969000000002 False 0.0
Fri Apr 28 19:49:32 2023: 0.04782969000000002 False 0.0
Fri Apr 28 19:49:36 2023: 0.04782969000000002 False 0.0
Fri Apr 28 19:49:43 2023: 0.04782969000000002 False 0.0
Fri Apr 28 19:49:55 2023: 0.04782969000000002 True 16.642729187184205
Fri Apr 28 19:49:56 2023: 0.043046721000000024 False 16.642729187184205
Fri Apr 28 19:50:02 2023: 0.043046721000000024 True 2.785288221361264
Fri Apr 28 19:50:05 2023: 0.03874204890000002 False 2.785288221361264
Fri Apr 28 19:50:09 2023: 0.03874204890000002 False 0.0
Fri Apr 28 19:50:24 2023: 0.03874204890000002 False 0.0
Fri Apr 28 19:50:27 2023: 0.03874204890000002 False 0.0
Fri Apr 28 19:50:48 2023: 0.03874204890000002 True 37.52380252667598
Fri Apr 28 19:50:48 2023: 0.03486784401000002 False 37.52380252667598
Fri Apr 28 19:50:52 2023: 0.03486784401000002 False 0.0
Fri Apr 28 19:51:05 2023: 0.03486784401000002 True 22.245140388415837
